organism	accession	technology	k	coverage	seed	decoder_arm	n_reads	n_contigs	asm_contigs_ge_min	asm_max_contig	asm_total_bp	quast_contigs	total_length	N50	largest_contig	NGA50	nga50_status	NA50	largest_alignment	genome_fraction	duplication_ratio	misassemblies	unaligned_contigs	unaligned_length	outcome	wall_seconds	status
Lambda	NC_001416	illumina	11	10	42	kmer	3230	4483	0	301	158403	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	15.019	ok
Lambda	NC_001416	illumina	11	10	123	kmer	3230	4528	0	350	159193	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	5.624	ok
Lambda	NC_001416	illumina	11	10	456	kmer	3230	4479	0	260	157817	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	8.831	ok
Lambda	NC_001416	illumina	11	30	42	kmer	9690	9207	0	268	242711	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	27.963	ok
Lambda	NC_001416	illumina	11	30	123	kmer	9690	9282	0	268	243808	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	29.404	ok
Lambda	NC_001416	illumina	11	30	456	kmer	9690	8948	0	254	238330	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	22.617	ok
Lambda	NC_001416	illumina	11	50	42	kmer	16150	13965	0	268	326651	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	78.832	ok
Lambda	NC_001416	illumina	11	50	123	kmer	16150	13628	0	268	321405	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	46.821	ok
Lambda	NC_001416	illumina	11	50	456	kmer	16150	13681	0	240	321727	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	80.388	ok
Lambda	NC_001416	illumina	11	100	42	kmer	32300	26055	0	268	531076	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	148.127	ok
Lambda	NC_001416	illumina	11	100	123	kmer	32300	25902	0	268	529002	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	124.66	ok
Lambda	NC_001416	illumina	11	100	456	kmer	32300	25523	0	239	522422	NA	NA	NA	NA	NA	no_contigs_ge_min	NA	NA	NA	NA	NA	NA	NA	degenerate	124.679	ok
